"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"C0805C104Z5VACTU","KEMET","399-1177-1-ND","","","Cut Tape (CT)","Active","20","0.05500","$1.10","432470","8 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"PMEG4005EJF","Nexperia USA Inc.","1727-8451-1-ND","","","Cut Tape (CT)","Discontinued at Digi-Key","2","0.32000","$0.64","1819","Not Available","PMEG4005EJ/SOD323/SOD2","Not Available","Not Available","REACH Unaffected"
"PEC11R-4215F-S0024","Bourns Inc.","PEC11R-4215F-S0024-ND","","","Tray","Active","3","1.57000","$4.71","3157","16 Weeks","ROTARY ENCODER MECHANICAL 24PPR","ROHS3 Compliant","Lead free","REACH Unaffected"
"LY R976-PS-36","OSRAM Opto Semiconductors Inc.","475-2560-1-ND","","","Cut Tape (CT)","Active","2","0.28000","$0.56","108282","12 Weeks","LED YELLOW DIFFUSED 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"LH R974-LP-1","OSRAM Opto Semiconductors Inc.","475-1415-1-ND","","","Cut Tape (CT)","Active","2","0.26000","$0.52","137407","12 Weeks","LED RED DIFFUSED 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNCP0805FTD10K0","Stackpole Electronics Inc","RNCP0805FTD10K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","434658","18 Weeks","RES 10K OHM 1% 1/4W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"3484","Adafruit Industries LLC","1528-2291-ND","","","Bulk","Active","1","4.95000","$4.95","662","Not Available","ADDRESS LED DISCRETE SERIAL RGB","ROHS3 Compliant","Lead free","Not Available"
"JS202011JAQN","C&K","CKN10722CT-ND","","","Cut Tape (CT)","Active","1","0.63000","$0.63","28946","13 Weeks","SWITCH SLIDE DPDT 300MA 6V","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA64L-8AU","Microchip Technology","ATMEGA64L-8AU-ND","","","Tray","Active","1","7.79000","$7.79","820","7 Weeks","IC MCU 8BIT 64KB FLASH 64TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"TXS0102DCUR","Texas Instruments","296-21931-1-ND","","","Cut Tape (CT)","Active","1","0.69000","$0.69","48140","6 Weeks","IC TRNSLTR BIDIRECTIONAL 8VSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"CSTNE8M00G550000R0","Murata Electronics","490-17958-1-ND","","","Cut Tape (CT)","Active","2","0.28000","$0.56","42024","11 Weeks","CERAMIC RES 8.0000MHZ 33PF SMD","ROHS3 Compliant","Contains lead","Not Available"
"PTV09A-4020F-B203","Bourns Inc.","PTV09A-4020F-B203-ND","","","Tray","Active","1","0.83000","$0.83","968","16 Weeks","POT 20K OHM 1/20W CARBON LINEAR","ROHS3 Compliant","Lead free","REACH Unaffected"
"SJ-3524-SMT-TR","CUI Devices","CP-3524SJCT-ND","","","Cut Tape (CT)","Active","1","1.04000","$1.04","125769","11 Weeks","CONN JACK STEREO 3.5MM SMD R/A","RoHS Compliant","Lead free","Not Available"
